survey,variable,question_label
EWCSR1,a10_4,"A.10. d) Breathing in vapours, fumes, dust or dangerous substances"
EWCSR1,a10_5,A.10. e) Handling and/or touching dangerous substances or materials
EWCSR1,a11_1,A.11. a) Painful or tiring positions
EWCSR1,a11_2,A.11. b) Carrying or moving heavy loads
EWCSR1,a11_3,A.11. c) Working at a very high speed
EWCSR1,a11_4,A.11. d) Working to tight deadlines
EWCSR1,a11_5,A.11. e) Carrying out short repetitive tasks
EWCSR1,a11_6,A.11. f) Using computer equipment
EWCSR1,a11_7,A.11. g) Working at night
EWCSR1,a12_1,A.12. a) Your order of tasks or your methods of work
EWCSR1,a12_2,A.12. b) Your speed or rate of work
EWCSR1,q13_1,A.13. a) Clear and adequate information
EWCSR1,q13_2,A.13. b) Sufficient training and experience
EWCSR1,q13_3,A.13. c) Appropriate machines and tools
EWCSR1,q13_4,A.13. d) Appropriate premises and furniture
EWCSR1,q13_5,A.13. e) Sufficient support from superiors or colleagues
EWCSR1,a14,A.14. Do your wages or income depend on your own work rate?
EWCSR1,a15,A.15. Do you know any colleagues who suffer from work-related illnesses or who have had an accident at work?
EWCSR1,a16,A.16. Do you think your health or safety is at risk because of your work?
EWCSR1,a17,"A.17. Do you yourself have, or have you had, any recognised work-related illness or accident?"
EWCSR1,a18,A.18. Average
EWCSR1,a18r,A.18. (IF YES AT A17) How many accidents at work have you had that resulted in stopping work for more than one week?
EWCSR1,a19,"A.19. How satisfied are you with the actions taken to ensure the safety, hygiene and health of people at your current place of work?"
EWCSR1,a20,"A.20. Do you think that an improvement of safety, hygiene and health standards at your place of work"
EWCSR1,a21,"A.21. Do you know any person who is responsible for safety, hygiene or health where you work?"
EWCSR1,a22,"A.22. Would you say you are very well informed, quite well informed, quite badly informed"
EWCSR1,a23,"A.23. Have you had a training course concerning safety, hygiene or health, for your current job?"
EWCSR1,a24,A.24. Have you ever had the chance to give an opinion or make suggestions about improving safety
EWCSR1,a25,"A.25. Over the past 10 years, have you changed job in order to seek a healthier or safer job?"
EWCSR1,a26,A.26. Do you think that work-related illnesses and accidents at work are (IN YOUR COUNTRY) ... ?
EWCSR1,a27,"A.27. And at your workplace, do you think that work-related illnesses and accidents are ... ?"
EWCSR1,a28a,A.28. a) MAINLY
EWCSR1,a28bc1,A28BC: The company
EWCSR1,a28bc2,A28BC: The government
EWCSR1,a28bc3,A28BC: The European Community
EWCSR1,a28bc4,A28BC: Each worker
EWCSR1,a28bc5,A28BC: DK
EWCSR1,a29,"A.29. Have you read, seen or heard anything about the activities of the European Community in the field of safety"
EWCSR1,a30c01,A30C: Television
EWCSR1,a30c02,A30C: Radio
EWCSR1,a30c03,A30C: Newspapers
EWCSR1,a30c04,A30C: Magazines
EWCSR1,a30c05,A30C: Specialists press
EWCSR1,a30c06,A30C: Your company
EWCSR1,a30c07,A30C: Worker's organisations
EWCSR1,a30c08,A30C: Employer's organisations
EWCSR1,a30c09,A30C: At school
EWCSR1,a30c10,A30C: Other sources
EWCSR1,a30c11,A30C: DK
EWCSR1,a31,A.31. Would you like to receive more information on the actions of the European Community
EWCSR1,a32,A.32. Would you be for or aginst the application of common legislation in all the countries of the European Community
EWCSR1,a33ac01,A33AC: Belgium
EWCSR1,a33ac02,A33AC: Denmark
EWCSR1,a33ac03,A33AC: Germany (ex-BRD)
EWCSR1,a33ac04,A33AC: Germany (ex-DDR)
EWCSR1,a33ac05,A33AC: Greece
EWCSR1,a33ac06,A33AC: Spain
EWCSR1,a33ac07,A33AC: France
EWCSR1,a33ac08,A33AC: Ireland
EWCSR1,a33ac09,A33AC: Italy
EWCSR1,a33ac10,A33AC: the Netherlands
EWCSR1,a33ac11,A33AC: Luxembourg
EWCSR1,a33ac12,A33AC: Portugal
EWCSR1,a33ac13,A33AC: United Kingdom
EWCSR1,a33ac14,A33AC: DK
EWCSR1,a33bc01,A33BC: Belgium
EWCSR1,a33bc02,A33BC: Denmark
EWCSR1,a33bc03,A33BC: Germany (ex-BRD)
EWCSR1,a33bc04,A33BC: Germany (ex-DDR)
EWCSR1,a33bc05,A33BC: Greece
EWCSR1,a33bc06,A33BC: Spain
EWCSR1,a33bc07,A33BC: France
EWCSR1,a33bc08,A33BC: Ireland
EWCSR1,a33bc09,A33BC: Italy
EWCSR1,a33bc10,A33BC: the Netherlands
EWCSR1,a33bc11,A33BC: Luxembourg
EWCSR1,a33bc12,A33BC: Portugal
EWCSR1,a33bc13,A33BC: United Kingdom
EWCSR1,a33bc14,A33BC: DK
EWCSR1,a34,A.34. Here is a statement that some people have made about this subject.
EWCSR1,p1_1_90,Day
EWCSR1,p1_2_90,Month
EWCSR1,p2r,P.2. Time of the beginning of the interview
EWCSR1,p3r,P.3. Number of minutes the interview lasted
EWCSR1,p4_90,P.4. Number of persons present during the interview
EWCSR1,p5_90,P.5. Respondent cooperation
EWCSR1,p6_90,P.6. Size of locality (LOCAL CODES)
EWCSR1,p7_90,P.7. Region (SEE LOCAL CODES)
EWCSR1,p11,P.11 - WEIGHTING FACTOR
EWCSR1,country,COUNTRIES
EWCSR1,v0096,COUNTRIES
EWCSR1,countr2,COUNTRIES
EWCSR1,v0098,V0098: EC 12+
EWCSR1,eu12,EU12: EC 12
EWCSR1,eu10,EU10: EC 10
EWCSR1,euro6,EURO6: EC 6
EWCSR1,bel,BEL: TOTAL
EWCSR1,den,DEN: TOTAL
EWCSR1,wge,WGE: TOTAL
EWCSR1,gre,GRE: TOTAL
EWCSR1,ita,ITA: TOTAL
EWCSR1,spa,SPA: TOTAL
EWCSR1,fra,FRA: TOTAL
EWCSR1,irl,IRL: TOTAL
EWCSR1,lux,LUX: TOTAL
EWCSR1,net,NET: TOTAL
EWCSR1,por,POR: TOTAL
EWCSR1,uk,UK: TOTAL
EWCSR1,ege,EGE: TOTAL
EWCSR1,ger,GER: TOTAL
EWCSR1,nir,NIR: TOTAL
EWCSR1,gb,GB: TOTAL
EWCSR1,v0118,V0118: BE EB35.0
EWCSR1,v0119,V0119: DK EB35.0
EWCSR1,v0120,V0120: WG EB35.0
EWCSR1,v0121,V0121: GR EB35.0
EWCSR1,v0122,V0122: IT EB35.0
EWCSR1,v0123,V0123: SP EB35.0
EWCSR1,v0124,V0124: FR EB35.0
EWCSR1,v0125,V0125: IR EB35.0
EWCSR1,v0126,V0126: LU EB35.0
EWCSR1,v0127,V0127: NL EB35.0
EWCSR1,v0128,V0128: PO EB35.0
EWCSR1,uk_350,UK_350: UK EB35.0
EWCSR1,v0130,V0130: EG EB35.0
EWCSR1,v0131,V0131: GE EB35.0
EWCSR1,v0132,V0132: NI EB35.0
EWCSR1,gb_350,GB_350: GB EB35.0
EWCSR1,v0134,V0134: E12+ EB35.0
EWCSR1,v0135,V0135: BELGIQUE
EWCSR1,v0136,V0136: DANMARK
EWCSR1,v0137,V0137: WESTDEUTSCHLAND
EWCSR1,v0138,V0138: DEUTSCHLAND GESAMT
EWCSR1,v0139,V0139: OSTDEUTSCHLAND
EWCSR1,v0140,V0140: ELLAS
EWCSR1,v0141,V0141: ESPAÑA
EWCSR1,v0142,V0142: FRANCE
EWCSR1,v0143,V0143: IRELAND
EWCSR1,v0144,V0144: ITALIA
EWCSR1,v0145,V0145: G.-D. LUXEMBOURG
EWCSR1,v0146,V0146: NEDERLAND
EWCSR1,v0147,V0147: PORTUGAL
EWCSR1,v0148,V0148: UNITED KINGDOM
EWCSR1,weightp,WEIGHT RESULT FROM TARGET
EWCSR1,weights,WEIGHT ADJUSTED TO STANDARD SIZE
EWCSR1,weight3p,WEIGHT EUROPE 12 +
EWCSR1,v0152,WEIGHT SPECIAL GERMANY
EWCSR1,weight1,WEIGHT SPECIAL UNITED KINGDOM
EWCSR1,weight2,WEIGHT EURO 10
EWCSR1,weight3,WEIGHT EURO 12
EWCSR1,weight6,WEIGHT EURO 6
EWCSR1,weighta,WEIGHT A
EWCSR1,v0158,WEIGHT A
EWCSR1,v0159,WEIGHT A
EWCSR1,v0160,WEIGHT A
EWCSR1,v0161,WEIGHT A
EWCSR1,v0162,WEIGHT A
EWCSR1,v0163,WEIGHT A
EWCSR1,a3rr,a3rr
EWCSR1,ed6b,ed6b
EWCSR1,w00,w00
EWCSR1,agsex,agsex
EWCSR1,nac,nac
EWCSR1,wst,wst
EWCSR1,wor,wor
EWCSR1,w4_new,New weights
EWCSR2,id,respondent id
EWCSR2,hh1,hh1.How many people live in this household?
EWCSR2,hh2a,hh2a. Sex - Respondent
EWCSR2,hh2b,hh2b. Age - Respondent
EWCSR2,hh2d,hh2d. Economic status - Respondent
EWCSR2,hh3_2a,hh3_2a. Sex - Person 2.
EWCSR2,hh3_2b,hh3_2b. Age - Person 2.
EWCSR2,hh3_2c,hh3_2c. Relationship to respondent - Person 2.
EWCSR2,hh3_2d,hh3_2d. Economic status - Person 2.
EWCSR2,hh3_3a,hh3_3a. Sex - Person 3.
EWCSR2,hh3_3b,hh3_3b. Age - Person 3.
EWCSR2,hh3_3c,hh3_3c. Relationship to respondent - Person 3.
EWCSR2,hh3_3d,hh3_3d. Economic status - Person 3.
EWCSR2,hh3_4a,hh3_4a. Sex - Person 4.
EWCSR2,hh3_4b,hh3_4b. Age - Person 4.
EWCSR2,hh3_4c,hh3_4c. Relationship to respondent - Person 4.
EWCSR2,hh3_4d,hh3_4d. Economic status - Person 4.
EWCSR2,hh3_5a,hh3_5a. Sex - Person 5.
EWCSR2,hh3_5b,hh3_5b. Age - Person 5.
EWCSR2,hh3_5c,hh3_5c. Relationship to respondent - Person 5.
EWCSR2,hh3_5d,hh3_5d. Economic status - Person 5.
EWCSR2,hh3_6a,hh3_6a. Sex - Person 6.
EWCSR2,hh3_6b,hh3_6b. Age - Person 6.
EWCSR2,hh3_6c,hh3_6c. Relationship to respondent - Person 6.
EWCSR2,hh3_6d,hh3_6d. Economic status - Person 6.
EWCSR2,hh3_7a,hh3_7a. Sex - Person 7.
EWCSR2,hh3_7b,hh3_7b. Age - Person 7.
EWCSR2,hh3_7c,hh3_7c. Relationship to respondent - Person 7.
EWCSR2,hh3_7d,hh3_7d. Economic status - Person 7.
EWCSR2,hh3_8a,hh3_8a. Sex - Person 8.
EWCSR2,hh3_8b,hh3_8b. Age - Person 8.
EWCSR2,hh3_8c,hh3_8c. Relationship to respondent - Person 8.
EWCSR2,hh3_8d,hh3_8d. Economic status - Person 8.
EWCSR2,hh3_9a,hh3_9a. Sex - Person 9.
EWCSR2,hh3_9b,hh3_9b. Age - Person 9.
EWCSR2,hh3_9c,hh3_9c. Relationship to respondent - Person 9.
EWCSR2,hh3_9d,hh3_9d. Economic status - Person 9.
EWCSR2,hh3_10a,hh3_10a. Sex - Person 10.
EWCSR2,hh3_10b,hh3_10b. Age - Person 10.
EWCSR2,hh3_10c,hh3_10c. Relationship to respondent - Person 10.
EWCSR2,hh3_10d,hh3_10d. Economic status - Person 10.
EWCSR2,q1a,Q1a. Are you a citizen of  country?
EWCSR2,q1b,q1b. Are you a citizen of ?
EWCSR2,q2a,q2a. What is the title of your main paid job?
EWCSR2,q2b,q2b. How old were you when you stopped full-time education?
EWCSR2,q2c,q2c. How many years have you been in paid employment since the age at which you stopped full-time education?
EWCSR2,q2d,q2d. How many years have you been in your company or organisation?
EWCSR2,q3a,q3a. Are you mainly ... ?
EWCSR2,q3b,q3b. What kind of employment contract do you have?
EWCSR2,q3c_1,q3c_1. What is the exact duration of the contract in number of years?
EWCSR2,q3c_2,q3c_2. What is the exact duration of the contract in number of months?
EWCSR2,q4,q4. What is the main activity of the company or organisation where you work?
EWCSR2,q5,q5. Are you working in the ?
EWCSR2,q6,q6. How many people in total work in the local unit of the establishment where you work?
EWCSR2,q7,q7. How many people work under your supervision?
EWCSR2,q8a,q8a. How many hours do you usually work per week in your main paid job?
EWCSR2,q8b,q8b. How many days per week do you usually work in your main paid job?
EWCSR2,q9a,"q9a. Besides your main paid job, do you have any other paid job(s)?"
EWCSR2,q9b,q9b. How many hours a week on average do you work in job(s) other than your main paid job?
EWCSR2,q10a,"q10a. Are you exposed at work to - vibrations from hand tools, machinery, etc.?"
EWCSR2,q10b,q10b. Are you exposed at work to - noise so loud that you would have to raise your voice to talk to people?
EWCSR2,q10c,q10c. Are you exposed at work to - high temperatures which make you perspire even when not working?
EWCSR2,q10d,q10d. Are you exposed at work to - low temperatures whether indoors or outdoors?
EWCSR2,q10e,"q10e. Are you exposed at work to - breathing in smoke, fumes, powder or dust etc.?"
EWCSR2,q10f,q10f. Are you exposed at work to - breathing in vapours such as solvents and thinners?
EWCSR2,q10g,q10g. Are you exposed at work to - handling or being in skin contact with chemical products or  substances?
EWCSR2,q10h,"q10h. Are you exposed at work to - radiation such as X rays, radioactive radiation, welding light, laser beams?"
EWCSR2,q10i,q10i. Are you exposed at work to - tobacco smoke from other people?
EWCSR2,q10j,q10j. Are you exposed at work to - handling or being in direct contact with materials which can be infectious?
EWCSR2,q11a,q11a. Does your main paid job involve - tiring or painful positions?
EWCSR2,q11b,q11b. Does your main paid job involve - lifting or moving people?
EWCSR2,q11c,q11c. Does your main paid job involve - carrying or moving heavy loads?
EWCSR2,q11d,q11d. Does your main paid job involve - standing or walking?
EWCSR2,q11e,q11e. Does your main paid job involve - repetitive hand or arm movements?
EWCSR2,q11f,q11f. Does your main paid job involve - working at company/organisation premise?
EWCSR2,q11g,q11g. Does your main paid job involve - teleworking from home with a PC?
EWCSR2,q11h,"q11h. Does your main paid job involve - working at home, excluding telework?"
EWCSR2,q11i,q11i. Does your main paid job involve - working in places other than home or company/organisation premises?
EWCSR2,q11j,q11j. Does your main paid job involve - dealing directly with people who are not employees at your workplace?
EWCSR2,q11k,"q11k. Does your main paid job involve - working with computers: PCs, network, mainframe?"
EWCSR2,q11l,q11l. Does your main paid job involve - using internet/email for professional purposes?
EWCSR2,q11m,q11m. Does your main paid job involve - wearing personal protective clothing or equipment?
EWCSR2,q12,"q12. Regarding the health and safety risks related to performance of your job, how well informed would you say you are?"
EWCSR2,q13,"q13. In total, how many minutes per day do you normally spend travelling from home to work and back?"
EWCSR2,q14a,"q14a. Normally, how many times a month do you work at night, for at least 2 hours?"
EWCSR2,q14b,"q14b. How many times a month do you work in the evening, for at least 2 hours?"
EWCSR2,q14c,q14c. How many times a month do you work on Sundays?
EWCSR2,q14d,q14d. How many times a month do you work on Saturdays?
EWCSR2,q14e,q14e. How many times a month do you work more than 10 hours a day?
EWCSR2,q15a,q15a. Do you work part-time or full-time?
EWCSR2,q15b,q15b. Would you like to work...?
EWCSR2,q16a_a,q16a_a. Do you work the same number of hours every day?
EWCSR2,q16a_b,q16a_b. Do you work the same number of days every week?
EWCSR2,q16a_c,q16a_c. Do you work fixed starting and finishing times?
EWCSR2,q16a_d,q16a_d. Do you work shifts?
EWCSR2,q16b,q16b. Do you work ...?
EWCSR2,q17a,q17a. How are your working time arrangements set?
EWCSR2,q17b,q17b. Do changes to your work schedule occur regularly? (IF YES) How long before are you informed about these changes?
EWCSR2,q18,"q18. Do your working hours fit in with your family or social commitments outside work very well, well, not very well or not at all well?"
EWCSR2,q19,"q19. In the past twelve months, have you been contacted, in matters concerning your main paid job outside your normal working hours?"
EWCSR2,q20a_a,q20a_a. Does your job involve short repetitive tasks of less than 1 minute?
EWCSR2,q20a_b,q20a_b. Does your job involve short repetitive tasks of less than 10 minutes?
EWCSR2,q20b_a,q20b_a. Does your job involve working at very high speed?
EWCSR2,q20b_b,q20b_b. Does your job involve working to tight deadlines?
EWCSR2,q21a,q21a. Is your pace of work dependent on the work done by colleagues?
EWCSR2,q21b,q21b. Is your pace of work dependent on direct demands from people?
EWCSR2,q21c,q21c. Is your pace of work dependent on numerical production targets or performance targets?
EWCSR2,q21d,q21d. Is your pace of work dependent on automatic speed of a machine or movement of a product?
EWCSR2,q21e,q21e. Is your pace of work dependent on the direct control of your boss?
EWCSR2,q22a,q22a. How often do you have to interrupt a task you are doing in order to take on an unforeseen task?
EWCSR2,q22b,"q22b. For your work, are these interruptions ..."
EWCSR2,q23a,q23a. Does your main paid job involve: meeting precise quality standards?
EWCSR2,q23b,q23b. Does your main paid job involve: assessing yourself the quality of your own work?
EWCSR2,q23c,q23c. Does your main paid job involve: solving unforeseen problems on your own?
EWCSR2,q23d,q23d. Does your main paid job involve: monotonous tasks?
EWCSR2,q23e,q23e. Does your main paid job involve: complex tasks?
EWCSR2,q23f,q23f. Does your main paid job involve: learning new things?
EWCSR2,q24a,q24a. Are you able to choose or change your order of tasks?
EWCSR2,q24b,q24b. Are you able to choose or change your methods of work?
EWCSR2,q24c,q24c. Are you able to choose or change your speed or rate of work?
EWCSR2,q25a,q25a. You can get assistance from colleagues if you ask for it.
EWCSR2,q25b,q25b. You can get assistance from your superiors/boss if you ask for it.
EWCSR2,q25c,q25c. You can get external assistance if you ask for it.
EWCSR2,q25d,q25d. You have influence over the choice of your working partners.
EWCSR2,q25e,q25e. You can take your break when you wish.
EWCSR2,q25f,q25f. You have enough time to get the job done.
EWCSR2,q25g,q25g. You are free to decide when to take holidays or days off.
EWCSR2,q25h,"q25h. At work, you have the opportunity to do what you do best."
EWCSR2,q25i,q25i. Your job gives you the feeling of work well done.
EWCSR2,q25j,q25j. You are able to apply your own ideas in your work.
EWCSR2,q25k,q25k. You have the feeling of doing useful work.
EWCSR2,q25l,q25l. You find your job intellectually demanding.
EWCSR2,q25m,q25m. You find your job emotionally demanding.
EWCSR2,q26a,q26a. Does your job involve rotating tasks between yourself and colleagues?
EWCSR2,q26a_1,q26a_1. Do the tasks require different skills?
EWCSR2,q26a_2a,q26a_2a. Your boss/manager decides the division of the tasks?
EWCSR2,q26a_2b,q26a_2b. Decided by people the division of the tasks who are rotating tasks?
EWCSR2,q26b,q26b. Does your job involve doing all or part of your work in a team?
EWCSR2,q26b_1a,q26b_1a. Do the members of the team decide by themselves on the division of tasks?
EWCSR2,q26b_1b,q26b_1b. Do the members of the team decide by themselves who will be head of the team?
EWCSR2,q27,q27. Which of the following alternatives would best describe your skills in your own work?
EWCSR2,q28a_1,"q28a_1. Have you undergone: Training paid for or provided by your employer, or by yourself if you are self-employed?"
EWCSR2,q28a_2,"q28a_2. Training paid for or provided by your employer, or by yourself if you are self-employed - number of days:"
EWCSR2,q28b_1,q28b_1. Have you undergone: Training paid for by yourself?
EWCSR2,q28b_2,q28b_2. Training paid for by yourself - number of days:
EWCSR2,q28c,q28c. Have you undergone: On-the-job training?
EWCSR2,q28d,q28d. Have you undergone: Other forms of on-site training and learning?
EWCSR2,q28e,q28e. Have you undergone: Other?
EWCSR2,q29a,q29a. Have you personally been subjected at work to threats of physical violence?
EWCSR2,q29b,q29b. Have you personally been subjected at work to physical violence from people from your workplace?
EWCSR2,q29c,q29c. Have you personally been subjected at work to physical violence from other people?
EWCSR2,q29d,q29d. Have you personally been subjected at work to bullying/harassment?
EWCSR2,q29e,q29e. Have you personally been subjected at work to sexual discrimination/discrimination linked to gender?
EWCSR2,q29f,q29f. Have you personally been subjected at work to unwanted sexual attention?
EWCSR2,q29g,q29g. Have you personally been subjected at work to age discrimination?
EWCSR2,q29h,q29h. Have you personally been subjected at work to discrimination linked to nationality?
EWCSR2,q29i,q29i. Have you personally been subjected at work to discrimination linked to ethnic background?
EWCSR2,q29j,q29j. Have you personally been subjected at work to discrimination linked to religion?
EWCSR2,q29k,q29k. Have you personally been subjected at work to discrimination linked to disability?
EWCSR2,q29l,q29l. Have you personally been subjected at work to discrimination linked to sexual orientation?
EWCSR2,q30a,q30a. Over the past 12 months have you had a frank discussion with your boss about your work performance?
EWCSR2,q30b,q30b. Over the past 12 months have you been consulted about changes in the organisation of work and/or your working conditions?
EWCSR2,q30c,q30c. Over the past 12 months have you been subject to regular formal assessment of your work performance?
EWCSR2,q30d,q30d. Over the past 12 months have you discussed work-related problems with your boss?
EWCSR2,q30e,q30e. Over the past 12 months have you discussed work-related problems with an employee representative?
EWCSR2,q31,q31. Is your immediate boss a man or a woman?
EWCSR2,q32,q32. Do you think your health or safety is at risk because of your work?
EWCSR2,q33,"q33. Does your work affect your health, or not?"
EWCSR2,q33a_a,q33a_a. Does your work affect your health: hearing problems?
EWCSR2,q33a_b,q33a_b. Does your work affect your health: problems with your vision?
EWCSR2,q33a_c,q33a_c. Does your work affect your health: skin problems?
EWCSR2,q33a_d,q33a_d. Does your work affect your health: backache?
EWCSR2,q33a_e,q33a_e. Does your work affect your health: headaches?
EWCSR2,q33a_f,q33a_f. Does your work affect your health: stomach ache?
EWCSR2,q33a_g,q33a_g. Does your work affect your health: muscular pains?
EWCSR2,q33a_h,q33a_h. Does your work affect your health: respiratory difficulties?
EWCSR2,q33a_i,q33a_i. Does your work affect your health: heart disease?
EWCSR2,q33a_j,q33a_j. Does your work affect your health: injury(ies)?
EWCSR2,q33a_k,q33a_k. Does your work affect your health: stress?
EWCSR2,q33a_l,q33a_l. Does your work affect your health: overall fatigue?
EWCSR2,q33a_m,q33a_m. Does your work affect your health: sleeping problems?
EWCSR2,q33a_n,q33a_n. Does your work affect your health: allergies?
EWCSR2,q33a_o,q33a_o. Does your work affect your health: anxiety?
EWCSR2,q33a_p,q33a_p. Does your work affect your health: irritability?
EWCSR2,q33a_q,q33a_q. Does your work affect your health: other?
EWCSR2,q34a_a,"q34a_a. In your main paid job, over the past twelve months, have you been absent for maternity or paternity leave?"
EWCSR2,q34a_b,"q34a_b. In your main paid job, over the past twelve months, have you been absent for educational leave?"
EWCSR2,q34a_c,"q34a_c. In your main paid job, over the past twelve months, have you been absent for family-related leave?"
EWCSR2,q34a_d,"q34a_d. In your main paid job, over the past twelve months, have you been absent for health problems?"
EWCSR2,q34a_e,"q34a_e. In your main paid job, over the past twelve months, have you been absent for other reasons?"
EWCSR2,q34b,q34b. Over the past 12 months how many days in total  were you absent from work for reasons of health problems?
EWCSR2,q34c_1,"q34c_1. Of the days of absence indicated above, how many days were attributable to accident(s) at work:"
EWCSR2,q34c_2,"q34c_2. Of the days of absence indicated above, how many days were attributable to health problems caused by your work:"
EWCSR2,q35,q35. Do you think you will be able to do the same job you are doing now when you are 60 years old?
EWCSR2,q36,"q36. Are you very satisfied, satisfied, not very satisfied or not at all satisfied with working conditions in your main paid job?"
EWCSR2,q37a,q37a. I might lose my job in the next 6 months.
EWCSR2,q37b,q37b. I am well paid for the work I do.
EWCSR2,q37c,q37c. My job offers good prospects for career advancement.
EWCSR2,q37d,q37d. I feel myself 'at home' in this organisation.
EWCSR2,q37e,"q37e. At work, I have opportunities to learn and grow."
EWCSR2,q37f,q37f. I have very good friends at work.
EWCSR2,ef1,ef1. What is the highest level of education that you have successfully completed?
EWCSR2,ef3,"ef3. Are you, in your household, the person who contributes most to the household income?"
EWCSR2,ef4a,ef4a. How often are you involved: Voluntary or charitable activity
EWCSR2,ef4.1a,ef4.1a. How many hours per day are you involved: Voluntary or charitable activity
EWCSR2,ef4b,ef4b. How often are you involved: Political/trade union activity
EWCSR2,ef4.1b,ef4.1b. How many hours per day are you involved: Political/trade union activity
EWCSR2,ef4c,ef4c. How often are you involved: Caring for and educating your children
EWCSR2,ef4.1c,ef4.1c. How many hours per day are you involved: Caring for and educating your children
EWCSR2,ef4d,ef4d. How often are you involved: Cooking and housework
EWCSR2,ef4.1d,ef4.1d. How many hours per day are you involved: Cooking and housework
EWCSR2,ef4e,ef4e. How often are you involved: Caring for elderly/disabled relatives
EWCSR2,ef4.1e,ef4.1e. How many hours per day are you involved: Caring for elderly/disabled relatives
EWCSR2,ef4f,ef4f. How often are you involved: Taking a training or education course
EWCSR2,ef4.1f,ef4.1f. How many hours per day are you involved: Taking a training or education course
EWCSR2,ef4g,"ef4g. How often are you involved: Sporting, cultural or leisure activity outside your home"
EWCSR2,ef4.1g,"ef4.1g. How many hours per day are you involved: Sporting, cultural or leisure activity outside your home"
EWCSR2,ef5,"ef5. Presently, what is on average your net monthly income from your main paid job?"
EWCSR2,ef6a,ef6a. What does your remuneration include: Basic fixed salary/wage?
EWCSR2,ef6b,ef6b. What does your remuneration include: Piece rate or productivity payments?
EWCSR2,ef6c,ef6c. What does your remuneration include: Extra payments for additional hours of work/overtime?
EWCSR2,ef6d,ef6d. What does your remuneration include: Extra payments compensating for bad or dangerous working conditions?
EWCSR2,ef6e,ef6e. What does your remuneration include: Extra payments compensating for Sunday work?
EWCSR2,ef6f,ef6f. What does your remuneration include: Other extra payments?
EWCSR2,ef6g,ef6g. What does your remuneration include: Payments based on the overall performance of the company where you work?
EWCSR2,ef6h,ef6h. What does your remuneration include: Payments based on the overall performance of a group?
EWCSR2,ef6i,ef6i. What does your remuneration include: Income from shares in the company your work for?
EWCSR2,ef6j,ef6j. What does your remuneration include: Advantages of other nature?
EWCSR2,ef6k,ef6k. What does your remuneration include: Other?
EWCSR2,ef6g_1,ef6g_1. Are the payments  based on the overall performance of the company calculated according to a predefined formula?
EWCSR2,ef6g_2,ef6g_2.  do you receive these payments on a regular basis?
EWCSR2,ef6h_1,ef6h_1.  Are the payments based on the overall performance of a group calculated according to a predefined formula?
EWCSR2,ef6h_2,ef6h_2. - do you receive these payments on a regular basis?
EWCSR2,ef7a,"ef7a. What does your remuneration include: Income from self-employment such as own business, profession or farm?"
EWCSR2,ef7b,ef7b. What does your remuneration include: Payments based on the overall performance of the company where you work?
EWCSR2,ef7c,ef7c. What does your remuneration include: Payments based on the overall performance of a group?
EWCSR2,ef7d,ef7d. What does your remuneration include: Income from shares in the company your work for?
EWCSR2,ef7e,ef7e. What does your remuneration include: Other?
EWCSR2,ef7b_1,ef7b_1. Are these payments based on the overall performance of the company calculated according to a predefined formula?
EWCSR2,ef7b_2,ef7b_2.  do you receive these payments on a regular basis?
EWCSR2,ef7c_1,ef7c_1. are these payments calculated according to a predefined formula?
EWCSR2,ef7c_2,ef7c_2.  do you receive these payments on a regular basis?
EWCSR2,p12a,p12a. Fixed telephone available in the household?
EWCSR2,p12b,p12b. Mobile  telephone available in the household?
EWCSR2,p14,p14. Would you be willing to participate in such a follow-up Interviewers?
EWCSR2,p1_1,p1_1. Date of the interview: Day:
EWCSR2,p1_2,p1_2. Date of the interview: Month:
EWCSR2,p2_1,p2_1. Time of the beginning of the interview: Hour:
EWCSR2,p2_2,p2_2. Time of the beginning of the interview: Minutes:
EWCSR2,p3,p3. Number of minutes the interview lasted: Minutes:
EWCSR2,p4,"p4. Number of persons present during the interview, including interviewer."
EWCSR2,p5,p5. Respondent cooperation:
EWCSR2,p6,p6. Size of locality (LOCAL CODES):
EWCSR2,p7,p7. Region (LOCAL CODES):
EWCSR2,p8,p8. Postal code:
EWCSR2,p9,p9. SAMPLE POINT NUMBER:
EWCSR2,p10,p10. INTERVIEWER NUMBER:
EWCSR2,p13,p13. Language of  interview:
EWCSR2,qq,Quality of questionnaire
EWCSR2,p3cat,p3cat
EWCSR2,countID,Country of interview
EWCSR2,countcod,Country of interview - ISO code
EWCSR2,total,total
EWCSR2,age,age
EWCSR2,agesex,agesex
EWCSR2,sampreg,sampreg
EWCSR2,nuts2,nuts2
EWCSR2,isco,Occupation: 1st-level ISCO codes
EWCSR2,q4rec,q4. What is the main activity of the company or organisation where you work?
EWCSR2,nace,Activity of employer: NACE main codes
EWCSR2,UNIQID,UNIQID
EWCSR2,isced,ISCED classification : the highest level of education or training
EWCSR2,income, Average net income  from the main paid job
EWCSR2,q37a_ef,q37a_ef
EWCSR2,q37b_ef,q37b_ef
EWCSR2,q37c_ef,q37c_ef
EWCSR2,q37d_ef,q37d_ef
EWCSR2,q37e_ef,q37e_ef
EWCSR2,q37f_ef,q37f_ef
EWCSR2,hh2b_ef4,hh2b_ef4. Age - Respondent
EWCSR2,hh3_3b_ef4,hh3_3b_ef4. Age - Person 3.
EWCSR2,hh3_4b_ef4,hh3_4b_ef4. Age - Person 4.
